date,high,low,open,close,volume,quoteVolume,weightedAverage
1485240600,420.0,0.0002474,420.0,0.0002474,1.1847424,298.37081518,0.0039707
1485240900,0.00102999,5.5e-05,0.0002474,0.00027001,1.22944253,3150.05589085,0.00039029
1485241200,0.0044,0.00025,0.00027001,0.0030212,3.74113487,3178.60163569,0.00117697
1485241500,0.00500001,0.00200009,0.00299999,0.00461541,4.47709113,1286.4871953,0.00348008
1485241800,0.0170759,0.00200203,0.004615,0.00776816,11.78558792,1552.76951524,0.00759004
1485242100,0.00776816,0.00499999,0.00776816,0.00678005,5.22422618,846.12734014,0.00617427
1485242400,0.00804001,0.00640004,0.00640006,0.00688222,3.70879234,518.73086894,0.00714974
1485242700,0.00688217,0.003312,0.00650012,0.0058038,10.9654269,2026.71169223,0.00541045
1485243000,0.00541729,0.002,0.0045,0.0034,9.67799535,3284.31587227,0.00294673
1485243300,0.00320011,0.002,0.00320011,0.0025,5.22946082,2201.17093861,0.00237576
1485243600,0.0024999,0.00202,0.00239999,0.00234,1.62657302,729.96398404,0.00222829
1485243900,0.003878,0.0022,0.00234,0.003,4.91680559,1836.30365454,0.00267755
1485244200,0.00489798,0.00296999,0.00319242,0.00438968,9.96013378,2543.36106992,0.00391613
1485244500,0.00410022,0.00132,0.00410021,0.00218667,19.63855304,7947.01484756,0.00247118
1485244800,0.00199997,0.00012,0.00199997,0.00026,23.61090393,44863.1946395,0.00052628
1485245100,0.00054665,0.00026,0.0003591,0.00039098,9.56942268,29026.3395126,0.00032968
1485245400,0.00041992,0.00030113,0.00036992,0.00038,3.74087348,9738.36288551,0.00038413
1485245700,0.00039501,0.00033,0.000389,0.00033,5.03172902,14006.6679406,0.00035923
1485246000,0.00037,0.00029991,0.00035369,0.0003091,2.37308108,7267.89257654,0.00032651
1485246300,0.00045,0.00021325,0.0003096,0.00024948,25.62158197,85873.7697788,0.00029836
1485246600,0.00024948,0.000144,0.00024948,0.00019815,17.83742488,98404.1956162,0.00018126
1485246900,0.00027698,0.00021999,0.00021999,0.00025,11.6786795,48174.0748243,0.00024242
1485247200,0.00025989,0.00022508,0.00025,0.00024821,5.46303007,22450.7490778,0.00024333
1485247500,0.00024501,0.00023002,0.00023996,0.000243,2.66914562,11163.3660268,0.00023909
1485247800,0.00027697,0.00023099,0.00024028,0.00024923,10.78325206,43753.9517461,0.00024645
1485248100,0.00025399,0.00022904,0.00024923,0.000234,6.5020293,27522.0590338,0.00023624
1485248400,0.0002393,0.00019157,0.00023492,0.00019157,7.5783737,36432.9683134,0.000208
1485248700,0.000224,0.00018499,0.0001993,0.00021512,8.61805271,42484.9552447,0.00020284
1485249000,0.00025099,0.00020753,0.0002077,0.000221,12.29186063,52099.8007444,0.00023592
1485249300,0.000239,0.000215,0.00022205,0.000239,3.28347309,14560.6738627,0.0002255
1485249600,0.00024002,0.00021487,0.000239,0.0002203,2.90307409,12561.3101125,0.00023111
1485249900,0.000293,0.00021051,0.00021482,0.00024848,31.96037897,123309.874004,0.00025918
1485250200,0.00026494,0.00023997,0.0002483,0.000255,3.25012274,13020.135143,0.00024962
1485250500,0.00025,0.00021161,0.0002481,0.00024174,4.19363843,18259.6077584,0.00022966
1485250800,0.00025351,0.00023,0.00024173,0.00024999,7.64853224,31522.2200382,0.00024263
1485251100,0.00024997,0.00022005,0.00024997,0.0002221,8.4627915,37656.7096819,0.00022473
1485251400,0.00023335,0.00022463,0.00022463,0.00022756,2.20204955,9539.68939307,0.00023083
1485251700,0.00023637,0.00022737,0.00022756,0.00023131,2.73452606,11790.1373866,0.00023193
1485252000,0.00023971,0.00022801,0.00023636,0.000234,3.1568243,13387.7344161,0.00023579
1485252300,0.00025999,0.00023065,0.00023101,0.00024246,4.3325951,17653.1453416,0.00024542
1485252600,0.0002459,0.00024138,0.00024589,0.00024291,1.15260545,4733.59406837,0.00024349
1485252900,0.00024795,0.0002414,0.00024497,0.00024279,1.69580391,6913.96833747,0.00024527
1485253200,0.00024495,0.00022005,0.00024311,0.00023499,7.15825654,31513.0621562,0.00022715
1485253500,0.00023379,0.000182,0.00023201,0.00019852,29.62489442,144365.923008,0.0002052
1485253800,0.0001984,0.000165,0.0001984,0.000175,18.26781698,104357.130291,0.00017505
1485254100,0.00018737,0.00016071,0.00017935,0.00017075,11.0526058,64894.8152027,0.00017031
1485254400,0.000172,0.000135,0.00016999,0.00014635,33.87630144,230759.692754,0.0001468
1485254700,0.00015398,0.00012729,0.00014635,0.00013,20.29411265,147035.518621,0.00013802
1485255000,0.00014724,0.000121,0.00013001,0.00014399,11.56813307,86789.7934989,0.00013328
1485255300,0.00014357,0.00013,0.00014357,0.00014294,2.56722817,19151.3965173,0.00013404
1485255600,0.00014246,0.000125,0.00014246,0.00012601,4.06539201,31063.6367324,0.00013087
1485255900,0.00012702,0.00011185,0.00012702,0.00011707,10.59897169,88780.0808408,0.00011938
1485256200,0.000134,0.000114,0.00011688,0.00012502,9.97051166,80056.1535102,0.00012454
1485256500,0.0001279,0.00011995,0.00012788,0.00011995,1.97496178,16170.0339395,0.00012213
1485256800,0.0001205,0.000115,0.00011994,0.00011665,18.97966733,162375.886262,0.00011688
1485257100,0.00011809,0.000102,0.00011665,0.0001059,20.78459021,190283.936947,0.00010922
1485257400,0.00011788,0.00010201,0.00010591,0.00011788,10.01082373,92023.7644913,0.00010878
1485257700,0.00011788,0.00010333,0.00011788,0.000117,5.04647216,45012.5366075,0.00011211
1485258000,0.000118,0.00010705,0.00011687,0.000115,4.40465997,38814.0942955,0.00011348
1485258300,0.000135,0.000114,0.00011499,0.00012701,23.98062557,193028.325744,0.00012423
1485258600,0.00012993,0.00011653,0.00012701,0.00012,5.79093067,47114.630251,0.00012291
1485258900,0.00012386,0.00011653,0.00012,0.00012069,1.42627427,11942.9886031,0.00011942
1485259200,0.00012928,0.00011999,0.00012201,0.00012201,8.28987481,65950.4081986,0.00012569
1485259500,0.00013001,0.00012201,0.00012204,0.00012715,6.63079581,51588.7066757,0.00012853
1485259800,0.00014,0.00012694,0.000128,0.00014,4.13062557,31384.8701415,0.00013161
1485260100,0.000142,0.00013262,0.0001359,0.00013499,11.04996738,79027.7370232,0.00013982
1485260400,0.00013763,0.00013,0.00013302,0.00013498,9.25955386,69770.1745858,0.00013271
1485260700,0.000139,0.00013,0.00013392,0.00013631,4.79938483,35345.3337767,0.00013578
1485261000,0.000139,0.00013482,0.00013631,0.00013848,8.95205414,64745.8012871,0.00013826
1485261300,0.00014383,0.000137,0.000139,0.00014,16.26903575,116111.134364,0.00014011
1485261600,0.00014053,0.0001301,0.00014,0.00013368,7.19530807,52709.918219,0.0001365
1485261900,0.0001329,0.000124,0.00013239,0.0001328,3.89032593,30129.0715527,0.00012912
1485262200,0.000134,0.00012,0.00013316,0.00012739,6.14314641,49761.1224837,0.00012345
1485262500,0.00012912,0.00012,0.00012741,0.00012242,7.80482328,63669.6339713,0.00012258
1485262800,0.0001235,0.000112,0.00012235,0.00011993,9.37979734,80487.910503,0.00011653
1485263100,0.0001215,0.00011417,0.00012099,0.00012135,1.64259619,13790.2882107,0.00011911
1485263400,0.00012743,0.00012,0.00012146,0.00012447,3.82538239,31316.8739844,0.00012215
1485263700,0.00012356,0.00012001,0.00012355,0.00012356,3.47825236,28324.3244779,0.0001228
1485264000,0.000133,0.00012356,0.00012356,0.00012766,4.07286111,31710.3956197,0.00012843
1485264300,0.00012955,0.0001241,0.0001277,0.0001241,0.66174264,5272.14617221,0.00012551
1485264600,0.000129,0.000124,0.00012542,0.000129,1.53612201,12258.3332908,0.00012531
1485264900,0.0001317,0.00012704,0.00012899,0.00013162,4.00437437,30728.2692427,0.00013031
1485265200,0.0001345,0.00012901,0.00013155,0.0001333,5.46146474,41215.5612879,0.0001325
1485265500,0.0001376,0.00013324,0.00013486,0.00013669,3.28579236,24211.5537288,0.00013571
1485265800,0.00013768,0.00013225,0.00013669,0.0001367,2.12988765,15580.3811981,0.0001367
1485266100,0.0001369,0.000125,0.00013599,0.00012834,7.27830971,55228.1363043,0.00013178
1485266400,0.00013497,0.00012837,0.00012837,0.00013479,1.39924885,10495.9893934,0.00013331
1485266700,0.0001348,0.00012556,0.00013449,0.00012556,0.69960199,5381.66283941,0.00012999
1485267000,0.00013222,0.00012604,0.00012861,0.00013222,0.50178403,3904.17303547,0.00012852
1485267300,0.00013215,0.00012752,0.00013215,0.0001311,1.15841347,8913.52406807,0.00012996
1485267600,0.000133,0.00013,0.00013009,0.00013001,5.29108999,40605.7437127,0.0001303
1485267900,0.00013765,0.00013296,0.00013296,0.0001365,3.78201123,27903.9895031,0.00013553
1485268200,0.0001377,0.00013545,0.0001365,0.0001377,3.24597125,23704.8308549,0.00013693
1485268500,0.0001425,0.000135,0.0001377,0.00014,6.55245019,47145.7761099,0.00013898
1485268800,0.000147,0.00013805,0.00014018,0.000146,9.82059548,69158.9047057,0.000142
1485269100,0.00016729,0.000146,0.000147,0.00016729,28.34463162,181730.77133,0.00015597
1485269400,0.000166,0.00015899,0.000166,0.00015901,9.41490704,58287.7573533,0.00016152
1485269700,0.00016025,0.00014803,0.00015901,0.00016022,17.64676139,114536.905625,0.00015407
1485270000,0.00016,0.0001537,0.000159,0.00015416,7.0312825,44960.5232254,0.00015638
1485270300,0.00016,0.0001535,0.00015499,0.00016,3.66946201,23704.9571054,0.00015479
1485270600,0.000168,0.00015999,0.00015999,0.00016123,11.4764755,70207.9027631,0.00016346
1485270900,0.00017065,0.00016201,0.00016251,0.00017065,13.81454178,82899.0491234,0.00016664
1485271200,0.0001784,0.00016582,0.00017001,0.00016839,20.37028247,117929.370219,0.00017273
1485271500,0.0001705,0.00016401,0.0001684,0.00016503,10.41714737,61701.7992005,0.00016883
1485271800,0.00016643,0.00015755,0.000165,0.00015755,9.46470962,58749.5668923,0.0001611
1485272100,0.0001631,0.00015526,0.00015753,0.0001631,12.41591164,77870.1681109,0.00015944
1485272400,0.0001685,0.0001631,0.0001631,0.0001654,6.95732565,41738.7674651,0.00016668
1485272700,0.00016749,0.0001606,0.000165,0.0001645,1.03621131,6310.17363835,0.00016421
1485273000,0.0001644,0.00016,0.00016389,0.0001637,4.7768282,29739.4793744,0.00016062
1485273300,0.00016369,0.00015825,0.000163,0.00015825,5.26163085,32822.6188677,0.0001603
1485273600,0.00016369,0.00015826,0.00015851,0.00016148,1.67375997,10475.5629806,0.00015977
1485273900,0.00016368,0.00016021,0.00016368,0.000163,3.14448852,19361.7706906,0.0001624
1485274200,0.00017301,0.000163,0.000163,0.00016974,10.45304121,61631.2005821,0.0001696
1485274500,0.00017,0.00016409,0.00016974,0.00016927,7.6122768,45876.3418795,0.00016593
1485274800,0.00016899,0.00015921,0.000168,0.00016001,12.21139463,75522.3179428,0.00016169
1485275100,0.00016775,0.00015997,0.00016221,0.00016699,10.20949776,62693.1041949,0.00016284
1485275400,0.00016669,0.0001599,0.00016669,0.00016,11.02966052,68177.4398589,0.00016177
1485275700,0.00016409,0.00015901,0.00016,0.00016314,6.8174794,42232.5700089,0.00016142
1485276000,0.00016348,0.00015999,0.00016339,0.00016003,3.82501192,23752.0050994,0.00016103
1485276300,0.000163,0.0001506,0.00016005,0.00015447,4.08145301,26077.3655231,0.00015651
1485276600,0.00015604,0.00015,0.00015446,0.00015604,12.1666299,80190.1626089,0.00015172
1485276900,0.0001641,0.0001535,0.00015362,0.00016409,10.8582194,67739.1889186,0.00016029
1485277200,0.00016,0.00015645,0.00015858,0.00015907,4.50265081,28491.2547089,0.00015803
1485277500,0.00016,0.000148,0.00015888,0.000154,6.89505141,44990.5517894,0.00015325
1485277800,0.00015507,0.00015,0.000154,0.00015196,5.86021713,38503.2316992,0.0001522
1485278100,0.0001528,0.00014398,0.00015196,0.0001453,4.48730882,30511.551112,0.00014706
1485278400,0.00015,0.00014389,0.0001453,0.00014395,5.01103999,34125.5919818,0.00014684
1485278700,0.00014698,0.00014,0.00014399,0.00014107,5.68135029,39812.874596,0.0001427
1485279000,0.00015203,0.00014,0.00014107,0.0001443,19.62131792,134788.728163,0.00014557
1485279300,0.00014696,0.00014325,0.00014325,0.00014696,0.45337796,3123.6210776,0.00014514
1485279600,0.0001479,0.00014328,0.000147,0.0001462,3.60707121,24666.9391129,0.00014623
1485279900,0.0001462,0.00014267,0.00014508,0.000143,0.76282739,5295.08998763,0.00014406
1485280200,0.00014706,0.000142,0.00014276,0.00014706,3.94207255,27086.9436986,0.00014553
1485280500,0.00014846,0.00014519,0.00014734,0.00014845,4.7159569,32265.4008766,0.00014616
1485280800,0.0001555,0.000148,0.00014845,0.0001555,17.65983524,117278.60752,0.00015058
1485281100,0.000159,0.000152,0.00015442,0.000152,7.22924684,46130.7570507,0.00015671
1485281400,0.00015238,0.0001465,0.00015238,0.00015046,16.87358941,112769.726395,0.00014962
1485281700,0.00015413,0.00015013,0.00015046,0.00015413,4.6558188,30508.4626535,0.0001526
1485282000,0.000155,0.000151,0.0001535,0.000153,2.58510463,16889.4257764,0.00015306
1485282300,0.00015358,0.00015046,0.00015115,0.00015046,1.38229321,9092.16206399,0.00015203
1485282600,0.00015477,0.00015039,0.00015046,0.000154,2.34537191,15290.6375582,0.00015338
1485282900,0.00015399,0.00015,0.00015393,0.00015299,2.72456357,17946.9533038,0.00015181
1485283200,0.000154,0.000151,0.00015299,0.00015399,1.01214402,6591.77109185,0.00015354
1485283500,0.00015397,0.00015256,0.00015256,0.00015397,1.01024994,6561.6681664,0.00015396
1485283800,0.000154,0.00015202,0.00015397,0.00015202,0.39395414,2575.73971606,0.00015294
1485284100,0.000154,0.00015202,0.00015202,0.000154,0.23141962,1509.33528097,0.00015332
1485284400,0.00015499,0.00015203,0.0001542,0.00015351,0.22807066,1482.2508475,0.00015386
1485284700,0.00015499,0.00015207,0.00015351,0.00015207,1.00148222,6577.61030607,0.00015225
1485285000,0.00015197,0.00014683,0.00015197,0.00014991,3.47146584,23335.0678925,0.00014876
1485285300,0.00015,0.00014839,0.00015,0.00014999,0.74768807,4994.34385849,0.0001497
1485285600,0.000153,0.00014977,0.00014991,0.000153,1.56797576,10399.8520359,0.00015076
1485285900,0.000153,0.00015125,0.000153,0.00015299,0.30063652,1968.04592517,0.00015275
1485286200,0.00015472,0.000152,0.00015343,0.000153,1.48620711,9670.57536918,0.00015368
1485286500,0.00015292,0.000151,0.00015292,0.00015238,0.03779979,249.5666854,0.00015146
1485286800,0.00015101,0.00014683,0.00015101,0.00014683,2.45387691,16607.7900822,0.00014775
1485287100,0.00014991,0.00014878,0.0001488,0.00014991,0.06957283,465.26917962,0.00014953
1485287400,0.000155,0.00014991,0.00014991,0.000153,12.32833375,80587.9482693,0.00015297
1485287700,0.000154,0.00015,0.00015301,0.000153,8.918231,59274.7854491,0.00015045
